"syllabification","corrSyl","corrAns","keyCVC","keyCV","Condition"
"baldosa","bal","1.0","bal","ba","A"
"palmera","pal","1.0","pal","pa","A"
"bolsillo","bol","1.0","bol","bo","A"
"voltaje","vol","1.0","vol","vo","A"
"culpable","cul","1.0","cul","cu","A"
"garganta","gar","1.0","gar","ga","A"
"cerveza","cer","1.0","cer","ce","A"
"permiso","per","1.0","per","pe","A"
"corbata","cor","1.0","cor","co","A"
"corteza","cor","1.0","cor","co","A"
"jornada","jor","1.0","jor","jo","A"
"morcillo","mor","1.0","mor","mo","A"
"muralla","mu","2.0","mur","mu","A"
"ceniza","ce","2.0","cen","ce","A"
"linaje","li","2.0","lin","li","A"
"moneda","mo","2.0","mon","mo","A"
"camisa","ca","2.0","cam","ca","A"
"limosna","li","2.0","lim","li","A"
"casilla","ca","2.0","cas","ca","A"
"peseta","pe","2.0","pes","pe","A"
"cosecha","co","2.0","cos","co","A"
"rosario","ro","2.0","ros","ro","A"
"ganancia","ga","2.0","gan","ga","A"
"pasaje","pa","2.0","pas","pa","A"
"baldosa","bal","1.0","bal","ba","B"
"palmera","pal","1.0","pal","pa","B"
"bolsillo","bol","1.0","bol","bo","B"
"voltaje","vol","1.0","vol","vo","B"
"culpable","cul","1.0","cul","cu","B"
"garganta","gar","1.0","gar","ga","B"
"cerveza","cer","1.0","cer","ce","B"
"permiso","per","1.0","per","pe","B"
"corbata","cor","1.0","cor","co","B"
"corteza","cor","1.0","cor","co","B"
"jornada","jor","1.0","jor","jo","B"
"morcillo","mor","1.0","mor","mo","B"
"muralla","mu","2.0","mur","mu","B"
"ceniza","ce","2.0","cen","ce","B"
"linaje","li","2.0","lin","li","B"
"moneda","mo","2.0","mon","mo","B"
"camisa","ca","2.0","cam","ca","B"
"limosna","li","2.0","lim","li","B"
"casilla","ca","2.0","cas","ca","B"
"peseta","pe","2.0","pes","pe","B"
"cosecha","co","2.0","cos","co","B"
"rosario","ro","2.0","ros","ro","B"
"ganancia","ga","2.0","gan","ga","B"
"pasaje","pa","2.0","pas","pa","B"
"balada","ba","2.0","bal","ba","C"
"paloma","pa","2.0","pal","pa","C"
"bolero","bo","2.0","bol","bo","C"
"volante","vo","2.0","vol","vo","C"
"culebra","cu","2.0","cul","cu","C"
"garaje","ga","2.0","gar","ga","C"
"cereza","ce","2.0","cer","ce","C"
"pereza","pe","2.0","per","pe","C"
"coraje","co","2.0","cor","co","C"
"corona","co","2.0","cor","co","C"
"joroba","jo","2.0","jor","jo","C"
"morera","mo","2.0","mor","mo","C"
"murmullo","mur","1.0","mur","mu","C"
"centavo","cen","1.0","cen","ce","C"
"linterna","lin","1.0","lin","li","C"
"monta単a","mon","1.0","mon","mo","C"
"campana","cam","1.0","cam","ca","C"
"limpieza","lim","1.0","lim","li","C"
"castillo","cas","1.0","cas","ca","C"
"pesta単a","pes","1.0","pes","pe","C"
"costilla","cos","1.0","cos","co","C"
"rosquilla","ros","1.0","ros","ro","C"
"ganchillo","gan","1.0","gan","ga","C"
"pastilla","pas","1.0","pas","pa","C"
"balada","ba","2.0","bal","ba","D"
"paloma","pa","2.0","pal","pa","D"
"bolero","bo","2.0","bol","bo","D"
"volante","vo","2.0","vol","vo","D"
"culebra","cu","2.0","cul","cu","D"
"garaje","ga","2.0","gar","ga","D"
"cereza","ce","2.0","cer","ce","D"
"pereza","pe","2.0","per","pe","D"
"coraje","co","2.0","cor","co","D"
"corona","co","2.0","cor","co","D"
"joroba","jo","2.0","jor","jo","D"
"morera","mo","2.0","mor","mo","D"
"murmullo","mur","1.0","mur","mu","D"
"centavo","cen","1.0","cen","ce","D"
"linterna","lin","1.0","lin","li","D"
"monta単a","mon","1.0","mon","mo","D"
"campana","cam","1.0","cam","ca","D"
"limpieza","lim","1.0","lim","li","D"
"castillo","cas","1.0","cas","ca","D"
"pesta単a","pes","1.0","pes","pe","D"
"costilla","cos","1.0","cos","co","D"
"rosquilla","ros","1.0","ros","ro","D"
"ganchillo","gan","1.0","gan","ga","D"
"pastilla","pas","1.0","pas","pa","D"
