Order,Word,corrAnsEngV
0,platery,4
0,denial,1
0,generic,1
1,mensible,4
2,scornful,1
3,stoutly,1
4,ablaze,1
5,kermshaw,4
6,moonlit,1
7,lofty,1
8,hurricane,1
9,flaw,1
10,alberation,4
11,unkempt,1
12,breeding,1
13,festivity,1
14,screech,1
15,savory,1
16,plaudate,4
17,shin,1
18,fluid,1
19,spaunch,4
20,allied,1
21,slain,1
22,recipient,1
23,exprate,4
24,eloquence,1
25,cleanliness,1
26,dispatch,1
27,rebondicate,4
28,ingenious,1
29,bewitch,1
30,skave,4
31,plaintively,1
32,kilp,4
33,interfate,4
34,hasty,1
35,lengthy,1
36,fray,1
37,crumper,4
38,upkeep,1
39,majestic,1
40,magrity,4
41,nourishment,1
42,abergy,4
43,proom,4
44,turmoil,1
45,carbohydrate,1
46,scholar,1
47,turtle,1
48,fellick,4
49,destription,4
50,cylinder,1
51,censorship,1
52,celestial,1
53,rascal,1
54,purrage,4
55,pulsh,4
56,muddy,1
57,quirty,4
58,pudour,4
59,listless,1
60,wrought,1