tar_syl_str,wd_int_syl_str,partNum,wd_status,average
CV,CV,5a4eabd13646f90001741bbf,word,627.9
CV,CV,5a875d6cf1408d0001769479,word,605.42
CV,CV,5a910c8a6475f900019f8cbc,word,781.2742857142857
CV,CV,5b501a2ba0daa60001a336d4,word,960.5
CV,CV,5b5fdd52b36c3400014718b9,word,702.7142857142857
CV,CV,5bdf91dbb32fa800012ea282,word,589.3485714285714
CV,CV,5c2e48a2867f660001afd5f1,word,707.19375
CV,CV,5c47c2564a1fb4000136e14a,word,745.27375
CV,CV,5c53e9b6b7cf140001d31e6a,word,878.3333333333334
CV,CV,5c90617326e3ed00019896a5,word,636.7985714285714
CV,CV,5cb025049495a600190e00f3,word,944.5171428571429
CV,CV,5cb6bdcd029f810001b23cfe,word,657.1528571428571
CV,CV,5cbe45745973850015f7b090,word,780.375
CV,CV,5cccd9bee48e6700175286ca,word,825.4385714285714
CV,CV,5d1288956e2c7b0016bbd0f6,word,638.3642857142856
CV,CV,5d366eba9749cc00185c21fb,word,789.12
CV,CV,5d51fdfb910d9e00017e62db,word,780.58875
CV,CV,5d5496bdd84ebe0001f5fb20,word,1061.54625
CV,CV,5d58b26b5f36a80018f9975f,word,633.41875
CV,CV,5dae5564baa8780015bc26a1,word,697.77625
CV,CV,5e4877398af5eb310bc6f58f,word,749.88
CV,CV,5e522598d5aa4824b5829900,word,645.04125
CV,CV,5e9010494d246b3095f0e5a0,word,758.375
CV,CV,5e9532e400703c8b14ab0e80,word,538.30625
CV,CV,5e9fe54e71ba9919c2d11b0e,word,716.5833333333334
CV,CV,5ea1bad6173fb70a0dd4b01d,word,774.85875
CV,CV,5eaeebe9db992b0488624216,word,778.30375
CV,CV,5eb3966158efe7182e31ff92,word,598.04
CV,CV,5ebb2ee7b15eb00f0e3e2e71,word,561.21375
CV,CV,5ebdf558e27afd134641d5dc,word,750.43375
CV,CV,5ec1f0724553ff4e23b1f4ca,word,914
CV,CV,5ec354adf348311a5ee4019e,word,580.8725
CV,CV,5ec3e5be68bbf2081da1eba2,word,666.4925
CV,CV,5ec6a814c615390ad63cbf1f,word,757.2225
CV,CV,5ec888262256df3457ab483b,word,754.6575
CV,CV,5edac57737984c7168bedc3b,word,600.2114285714285
CV,CV,5ef58e6bd195c21efd19b29a,word,725.8175
CV,CV,5ef6821865a4f11673527f75,word,824.82375
CV,CV,5ef6c48340846d3c05b8236c,word,1035.0514285714287
CV,CV,5ef930974bc6e0000848aff7,word,727.43625
CV,CV,5efc0a523b88f81bec18ea9b,word,805.3100000000001
CV,CV,5efcbbdd231bde0af2edb847,word,841.47
CV,CV,5efe8b80a22068390f4e70f6,word,728.34875
CV,CV,5efeb01f2e80083c611538ea,word,973.1085714285714
CV,CVC,5a4eabd13646f90001741bbf,word,743.0625
CV,CVC,5a875d6cf1408d0001769479,word,672.44125
CV,CVC,5a910c8a6475f900019f8cbc,word,764.42625
CV,CVC,5b501a2ba0daa60001a336d4,word,868
CV,CVC,5b5fdd52b36c3400014718b9,word,658.5
CV,CVC,5bdf91dbb32fa800012ea282,word,768.69375
CV,CVC,5c2e48a2867f660001afd5f1,word,614.5475
CV,CVC,5c47c2564a1fb4000136e14a,word,770.75125
CV,CVC,5c53e9b6b7cf140001d31e6a,word,889.1428571428571
CV,CVC,5c90617326e3ed00019896a5,word,687.8028571428572
CV,CVC,5cb025049495a600190e00f3,word,927.44625
CV,CVC,5cb6bdcd029f810001b23cfe,word,766.32125
CV,CVC,5cbe45745973850015f7b090,word,796.25
CV,CVC,5cccd9bee48e6700175286ca,word,904.215
CV,CVC,5d1288956e2c7b0016bbd0f6,word,697.61
CV,CVC,5d366eba9749cc00185c21fb,word,870.6614285714286
CV,CVC,5d51fdfb910d9e00017e62db,word,721.1800000000001
CV,CVC,5d5496bdd84ebe0001f5fb20,word,900.765
CV,CVC,5d58b26b5f36a80018f9975f,word,700.5628571428572
CV,CVC,5dae5564baa8780015bc26a1,word,727.2914285714286
CV,CVC,5e4877398af5eb310bc6f58f,word,769.27
CV,CVC,5e522598d5aa4824b5829900,word,809.1271428571429
CV,CVC,5e9010494d246b3095f0e5a0,word,811.25
CV,CVC,5e9532e400703c8b14ab0e80,word,615.4175
CV,CVC,5e9fe54e71ba9919c2d11b0e,word,799.61375
CV,CVC,5ea1bad6173fb70a0dd4b01d,word,692.5157142857142
CV,CVC,5eaeebe9db992b0488624216,word,676.1125
CV,CVC,5eb3966158efe7182e31ff92,word,720.2775
CV,CVC,5ebb2ee7b15eb00f0e3e2e71,word,629.2975
CV,CVC,5ebdf558e27afd134641d5dc,word,840.4216666666667
CV,CVC,5ec1f0724553ff4e23b1f4ca,word,730
CV,CVC,5ec354adf348311a5ee4019e,word,645.71625
CV,CVC,5ec3e5be68bbf2081da1eba2,word,751.49375
CV,CVC,5ec6a814c615390ad63cbf1f,word,758.22375
CV,CVC,5ec888262256df3457ab483b,word,892.02625
CV,CVC,5edac57737984c7168bedc3b,word,694.3766666666667
CV,CVC,5ef58e6bd195c21efd19b29a,word,750.1442857142857
CV,CVC,5ef6821865a4f11673527f75,word,731.3871428571429
CV,CVC,5ef6c48340846d3c05b8236c,word,1034.5514285714285
CV,CVC,5ef930974bc6e0000848aff7,word,817.4214285714286
CV,CVC,5efc0a523b88f81bec18ea9b,word,870.42375
CV,CVC,5efcbbdd231bde0af2edb847,word,869.16
CV,CVC,5efe8b80a22068390f4e70f6,word,805.0749999999999
CV,CVC,5efeb01f2e80083c611538ea,word,1143.205
CVC,CV,5a4eabd13646f90001741bbf,word,759.6800000000001
CVC,CV,5a875d6cf1408d0001769479,word,624.51125
CVC,CV,5a910c8a6475f900019f8cbc,word,893.7333333333333
CVC,CV,5b501a2ba0daa60001a336d4,word,889.75
CVC,CV,5b5fdd52b36c3400014718b9,word,662
CVC,CV,5bdf91dbb32fa800012ea282,word,806.3042857142857
CVC,CV,5c2e48a2867f660001afd5f1,word,712.5971428571429
CVC,CV,5c47c2564a1fb4000136e14a,word,894.8987500000001
CVC,CV,5c53e9b6b7cf140001d31e6a,word,847
CVC,CV,5c90617326e3ed00019896a5,word,729.5071428571429
CVC,CV,5cb025049495a600190e00f3,word,973.0375
CVC,CV,5cb6bdcd029f810001b23cfe,word,894.44
CVC,CV,5cbe45745973850015f7b090,word,622.75
CVC,CV,5cccd9bee48e6700175286ca,word,932.77125
CVC,CV,5d1288956e2c7b0016bbd0f6,word,651.01
CVC,CV,5d366eba9749cc00185c21fb,word,778.49125
CVC,CV,5d51fdfb910d9e00017e62db,word,882.9014285714286
CVC,CV,5d5496bdd84ebe0001f5fb20,word,1038.8771428571429
CVC,CV,5d58b26b5f36a80018f9975f,word,615.6525
CVC,CV,5dae5564baa8780015bc26a1,word,723.26
CVC,CV,5e4877398af5eb310bc6f58f,word,841.3625
CVC,CV,5e522598d5aa4824b5829900,word,656.9175
CVC,CV,5e9010494d246b3095f0e5a0,word,764.125
CVC,CV,5e9532e400703c8b14ab0e80,word,634.13375
CVC,CV,5e9fe54e71ba9919c2d11b0e,word,884.645
CVC,CV,5ea1bad6173fb70a0dd4b01d,word,639.54625
CVC,CV,5eaeebe9db992b0488624216,word,729.5475
CVC,CV,5eb3966158efe7182e31ff92,word,768.0275
CVC,CV,5ebb2ee7b15eb00f0e3e2e71,word,596.16125
CVC,CV,5ebdf558e27afd134641d5dc,word,760.8014285714286
CVC,CV,5ec1f0724553ff4e23b1f4ca,word,1037.875
CVC,CV,5ec354adf348311a5ee4019e,word,552.35125
CVC,CV,5ec3e5be68bbf2081da1eba2,word,812.99375
CVC,CV,5ec6a814c615390ad63cbf1f,word,664.72125
CVC,CV,5ec888262256df3457ab483b,word,719.93875
CVC,CV,5edac57737984c7168bedc3b,word,817.31875
CVC,CV,5ef58e6bd195c21efd19b29a,word,611.29875
CVC,CV,5ef6821865a4f11673527f75,word,690.32125
CVC,CV,5ef6c48340846d3c05b8236c,word,930.27375
CVC,CV,5ef930974bc6e0000848aff7,word,749.6274999999999
CVC,CV,5efc0a523b88f81bec18ea9b,word,907.7425000000001
CVC,CV,5efcbbdd231bde0af2edb847,word,768.6014285714285
CVC,CV,5efe8b80a22068390f4e70f6,word,743.2842857142857
CVC,CV,5efeb01f2e80083c611538ea,word,1054.875
CVC,CVC,5a4eabd13646f90001741bbf,word,677.9399999999999
CVC,CVC,5a875d6cf1408d0001769479,word,642.99625
CVC,CVC,5a910c8a6475f900019f8cbc,word,778.79625
CVC,CVC,5b501a2ba0daa60001a336d4,word,856
CVC,CVC,5b5fdd52b36c3400014718b9,word,657.75
CVC,CVC,5bdf91dbb32fa800012ea282,word,724.99375
CVC,CVC,5c2e48a2867f660001afd5f1,word,637.07875
CVC,CVC,5c47c2564a1fb4000136e14a,word,887.1771428571428
CVC,CVC,5c53e9b6b7cf140001d31e6a,word,855.5
CVC,CVC,5c90617326e3ed00019896a5,word,797.33375
CVC,CVC,5cb025049495a600190e00f3,word,947.5157142857142
CVC,CVC,5cb6bdcd029f810001b23cfe,word,850.415
CVC,CVC,5cbe45745973850015f7b090,word,666.375
CVC,CVC,5cccd9bee48e6700175286ca,word,864.175
CVC,CVC,5d1288956e2c7b0016bbd0f6,word,720.02125
CVC,CVC,5d366eba9749cc00185c21fb,word,716.1271428571429
CVC,CVC,5d51fdfb910d9e00017e62db,word,978.8712499999999
CVC,CVC,5d5496bdd84ebe0001f5fb20,word,826.165
CVC,CVC,5d58b26b5f36a80018f9975f,word,709.4525
CVC,CVC,5dae5564baa8780015bc26a1,word,697.5525
CVC,CVC,5e4877398af5eb310bc6f58f,word,938.33
CVC,CVC,5e522598d5aa4824b5829900,word,745.7825
CVC,CVC,5e9010494d246b3095f0e5a0,word,935.375
CVC,CVC,5e9532e400703c8b14ab0e80,word,631.8571428571429
CVC,CVC,5e9fe54e71ba9919c2d11b0e,word,759.885
CVC,CVC,5ea1bad6173fb70a0dd4b01d,word,717.89
CVC,CVC,5eaeebe9db992b0488624216,word,825.1314285714286
CVC,CVC,5eb3966158efe7182e31ff92,word,729.76
CVC,CVC,5ebb2ee7b15eb00f0e3e2e71,word,590.4
CVC,CVC,5ebdf558e27afd134641d5dc,word,652.8824999999999
CVC,CVC,5ec1f0724553ff4e23b1f4ca,word,938.5714285714286
CVC,CVC,5ec354adf348311a5ee4019e,word,538
CVC,CVC,5ec3e5be68bbf2081da1eba2,word,818.48
CVC,CVC,5ec6a814c615390ad63cbf1f,word,715.2887499999999
CVC,CVC,5ec888262256df3457ab483b,word,678.2414285714285
CVC,CVC,5edac57737984c7168bedc3b,word,620.7414285714286
CVC,CVC,5ef58e6bd195c21efd19b29a,word,660.06
CVC,CVC,5ef6821865a4f11673527f75,word,887.1525
CVC,CVC,5ef6c48340846d3c05b8236c,word,1005.86625
CVC,CVC,5ef930974bc6e0000848aff7,word,840.7457142857143
CVC,CVC,5efc0a523b88f81bec18ea9b,word,845.9649999999999
CVC,CVC,5efcbbdd231bde0af2edb847,word,838.015
CVC,CVC,5efe8b80a22068390f4e70f6,word,784.16625
CVC,CVC,5efeb01f2e80083c611538ea,word,1021.845
