practiceListA,practiceListA0,practiceListA1,practiceListA2,practiceListA3,practiceListA4,practiceListA5,practiceListA6,practiceListA7,syllabification,corrSyl,corrAns,keyCVC,keyCV,Condition,pracTarLoop.thisRepN,pracTarLoop.thisTrialN,pracTarLoop.thisN,pracTarLoop.thisIndex,pracTrialLoop.thisRepN,pracTrialLoop.thisTrialN,pracTrialLoop.thisN,pracTrialLoop.thisIndex,expTarLoop.thisRepN,expTarLoop.thisTrialN,expTarLoop.thisN,expTarLoop.thisIndex,sylPracLoop.thisRepN,sylPracLoop.thisTrialN,sylPracLoop.thisN,sylPracLoop.thisIndex,syllableLoop.thisRepN,syllableLoop.thisTrialN,syllableLoop.thisN,syllableLoop.thisIndex,sylExp_key_resp.keys,sylExp_key_resp.corr,sylExp_key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
filleritem5,concepto,rabillo,vangurdo,tolina,rasguño,tusvuja,tencrido,forraje,,,,,,,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem8,donaire,pureza,devillo,foscillo,cigoto,nocena,galgango,vaquilla,,,,,,,0,0,0,0,0,1,1,8,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem7,noviazgo,ternera,tenvila,jagito,pocilga,vinsosta,fensuace,batuta,,,,,,,0,0,0,0,0,2,2,7,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem2,confianza,rivera,farime,tarsallo,sarcasmo,bascana,purjida,tungsteno,,,,,,,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem4,poniente,largueza,mordiso,cortupto,sordera,rorencio,dabtura,ropero,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem3,congreso,vergüenza,deciro,sutnido,gozada,gaferdo,vavipo,varilla,,,,,,,0,0,0,0,0,5,5,3,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
carrierItem,silbido,cosigna,sildedo,venuro,venado,delbides,coserna,deltoides,,,,,,,0,0,0,0,0,6,6,0,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem1,bacteria,farsante,nencida,parvaza,campaña,gimega,navura,burrada,,,,,,,0,0,0,0,0,7,7,1,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem9,recodo,percance,rofiolo,tosaba,cornisa,ricobo,binima,sufragio,,,,,,,0,0,0,0,0,8,8,9,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem6,reguero,regato,tocida,simona,cizalla,vantema,dezida,ramaje,,,,,,,0,0,0,0,0,9,9,6,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
targetSyl,sil,cos,si,ven,ve,del,co,de,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem2,confianza,rivera,farime,tarsallo,sarcasmo,bascana,purjida,tungsteno,,,,,,,1,0,1,0,0,0,0,2,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem4,poniente,largueza,mordiso,cortupto,sordera,rorencio,dabtura,ropero,,,,,,,1,0,1,0,0,1,1,4,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem8,donaire,pureza,devillo,foscillo,cigoto,nocena,galgango,vaquilla,,,,,,,1,0,1,0,0,2,2,8,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
carrierItem,silbido,cosigna,sildedo,venuro,venado,delbides,coserna,deltoides,,,,,,,1,0,1,0,0,3,3,0,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem1,bacteria,farsante,nencida,parvaza,campaña,gimega,navura,burrada,,,,,,,1,0,1,0,0,4,4,1,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem3,congreso,vergüenza,deciro,sutnido,gozada,gaferdo,vavipo,varilla,,,,,,,1,0,1,0,0,5,5,3,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem9,recodo,percance,rofiolo,tosaba,cornisa,ricobo,binima,sufragio,,,,,,,1,0,1,0,0,6,6,9,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem6,reguero,regato,tocida,simona,cizalla,vantema,dezida,ramaje,,,,,,,1,0,1,0,0,7,7,6,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem5,concepto,rabillo,vangurdo,tolina,rasguño,tusvuja,tencrido,forraje,,,,,,,1,0,1,0,0,8,8,5,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem7,noviazgo,ternera,tenvila,jagito,pocilga,vinsosta,fensuace,batuta,,,,,,,1,0,1,0,0,9,9,7,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
targetSyl,sil,cos,si,ven,ve,del,co,de,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem2,confianza,rivera,farime,tarsallo,sarcasmo,bascana,purjida,tungsteno,,,,,,,2,0,2,0,0,0,0,2,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem9,recodo,percance,rofiolo,tosaba,cornisa,ricobo,binima,sufragio,,,,,,,2,0,2,0,0,1,1,9,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem6,reguero,regato,tocida,simona,cizalla,vantema,dezida,ramaje,,,,,,,2,0,2,0,0,2,2,6,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem1,bacteria,farsante,nencida,parvaza,campaña,gimega,navura,burrada,,,,,,,2,0,2,0,0,3,3,1,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem3,congreso,vergüenza,deciro,sutnido,gozada,gaferdo,vavipo,varilla,,,,,,,2,0,2,0,0,4,4,3,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem8,donaire,pureza,devillo,foscillo,cigoto,nocena,galgango,vaquilla,,,,,,,2,0,2,0,0,5,5,8,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem7,noviazgo,ternera,tenvila,jagito,pocilga,vinsosta,fensuace,batuta,,,,,,,2,0,2,0,0,6,6,7,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
carrierItem,silbido,cosigna,sildedo,venuro,venado,delbides,coserna,deltoides,,,,,,,2,0,2,0,0,7,7,0,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem5,concepto,rabillo,vangurdo,tolina,rasguño,tusvuja,tencrido,forraje,,,,,,,2,0,2,0,0,8,8,5,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem4,poniente,largueza,mordiso,cortupto,sordera,rorencio,dabtura,ropero,,,,,,,2,0,2,0,0,9,9,4,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
targetSyl,sil,cos,si,ven,ve,del,co,de,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem8,donaire,pureza,devillo,foscillo,cigoto,nocena,galgango,vaquilla,,,,,,,3,0,3,0,0,0,0,8,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem3,congreso,vergüenza,deciro,sutnido,gozada,gaferdo,vavipo,varilla,,,,,,,3,0,3,0,0,1,1,3,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem7,noviazgo,ternera,tenvila,jagito,pocilga,vinsosta,fensuace,batuta,,,,,,,3,0,3,0,0,2,2,7,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem4,poniente,largueza,mordiso,cortupto,sordera,rorencio,dabtura,ropero,,,,,,,3,0,3,0,0,3,3,4,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem1,bacteria,farsante,nencida,parvaza,campaña,gimega,navura,burrada,,,,,,,3,0,3,0,0,4,4,1,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem5,concepto,rabillo,vangurdo,tolina,rasguño,tusvuja,tencrido,forraje,,,,,,,3,0,3,0,0,5,5,5,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
carrierItem,silbido,cosigna,sildedo,venuro,venado,delbides,coserna,deltoides,,,,,,,3,0,3,0,0,6,6,0,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem2,confianza,rivera,farime,tarsallo,sarcasmo,bascana,purjida,tungsteno,,,,,,,3,0,3,0,0,7,7,2,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem9,recodo,percance,rofiolo,tosaba,cornisa,ricobo,binima,sufragio,,,,,,,3,0,3,0,0,8,8,9,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem6,reguero,regato,tocida,simona,cizalla,vantema,dezida,ramaje,,,,,,,3,0,3,0,0,9,9,6,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
targetSyl,sil,cos,si,ven,ve,del,co,de,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem7,noviazgo,ternera,tenvila,jagito,pocilga,vinsosta,fensuace,batuta,,,,,,,4,0,4,0,0,0,0,7,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem9,recodo,percance,rofiolo,tosaba,cornisa,ricobo,binima,sufragio,,,,,,,4,0,4,0,0,1,1,9,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
carrierItem,silbido,cosigna,sildedo,venuro,venado,delbides,coserna,deltoides,,,,,,,4,0,4,0,0,2,2,0,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem3,congreso,vergüenza,deciro,sutnido,gozada,gaferdo,vavipo,varilla,,,,,,,4,0,4,0,0,3,3,3,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem5,concepto,rabillo,vangurdo,tolina,rasguño,tusvuja,tencrido,forraje,,,,,,,4,0,4,0,0,4,4,5,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem2,confianza,rivera,farime,tarsallo,sarcasmo,bascana,purjida,tungsteno,,,,,,,4,0,4,0,0,5,5,2,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem1,bacteria,farsante,nencida,parvaza,campaña,gimega,navura,burrada,,,,,,,4,0,4,0,0,6,6,1,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem6,reguero,regato,tocida,simona,cizalla,vantema,dezida,ramaje,,,,,,,4,0,4,0,0,7,7,6,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem4,poniente,largueza,mordiso,cortupto,sordera,rorencio,dabtura,ropero,,,,,,,4,0,4,0,0,8,8,4,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem8,donaire,pureza,devillo,foscillo,cigoto,nocena,galgango,vaquilla,,,,,,,4,0,4,0,0,9,9,8,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
targetSyl,sil,cos,si,ven,ve,del,co,de,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem2,confianza,rivera,farime,tarsallo,sarcasmo,bascana,purjida,tungsteno,,,,,,,5,0,5,0,0,0,0,2,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem8,donaire,pureza,devillo,foscillo,cigoto,nocena,galgango,vaquilla,,,,,,,5,0,5,0,0,1,1,8,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem1,bacteria,farsante,nencida,parvaza,campaña,gimega,navura,burrada,,,,,,,5,0,5,0,0,2,2,1,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
carrierItem,silbido,cosigna,sildedo,venuro,venado,delbides,coserna,deltoides,,,,,,,5,0,5,0,0,3,3,0,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem4,poniente,largueza,mordiso,cortupto,sordera,rorencio,dabtura,ropero,,,,,,,5,0,5,0,0,4,4,4,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem5,concepto,rabillo,vangurdo,tolina,rasguño,tusvuja,tencrido,forraje,,,,,,,5,0,5,0,0,5,5,5,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem7,noviazgo,ternera,tenvila,jagito,pocilga,vinsosta,fensuace,batuta,,,,,,,5,0,5,0,0,6,6,7,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem9,recodo,percance,rofiolo,tosaba,cornisa,ricobo,binima,sufragio,,,,,,,5,0,5,0,0,7,7,9,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem6,reguero,regato,tocida,simona,cizalla,vantema,dezida,ramaje,,,,,,,5,0,5,0,0,8,8,6,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem3,congreso,vergüenza,deciro,sutnido,gozada,gaferdo,vavipo,varilla,,,,,,,5,0,5,0,0,9,9,3,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
targetSyl,sil,cos,si,ven,ve,del,co,de,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem8,donaire,pureza,devillo,foscillo,cigoto,nocena,galgango,vaquilla,,,,,,,6,0,6,0,0,0,0,8,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem2,confianza,rivera,farime,tarsallo,sarcasmo,bascana,purjida,tungsteno,,,,,,,6,0,6,0,0,1,1,2,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem4,poniente,largueza,mordiso,cortupto,sordera,rorencio,dabtura,ropero,,,,,,,6,0,6,0,0,2,2,4,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem3,congreso,vergüenza,deciro,sutnido,gozada,gaferdo,vavipo,varilla,,,,,,,6,0,6,0,0,3,3,3,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem9,recodo,percance,rofiolo,tosaba,cornisa,ricobo,binima,sufragio,,,,,,,6,0,6,0,0,4,4,9,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem7,noviazgo,ternera,tenvila,jagito,pocilga,vinsosta,fensuace,batuta,,,,,,,6,0,6,0,0,5,5,7,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem1,bacteria,farsante,nencida,parvaza,campaña,gimega,navura,burrada,,,,,,,6,0,6,0,0,6,6,1,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem5,concepto,rabillo,vangurdo,tolina,rasguño,tusvuja,tencrido,forraje,,,,,,,6,0,6,0,0,7,7,5,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
carrierItem,silbido,cosigna,sildedo,venuro,venado,delbides,coserna,deltoides,,,,,,,6,0,6,0,0,8,8,0,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem6,reguero,regato,tocida,simona,cizalla,vantema,dezida,ramaje,,,,,,,6,0,6,0,0,9,9,6,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
targetSyl,sil,cos,si,ven,ve,del,co,de,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem4,poniente,largueza,mordiso,cortupto,sordera,rorencio,dabtura,ropero,,,,,,,7,0,7,0,0,0,0,4,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem6,reguero,regato,tocida,simona,cizalla,vantema,dezida,ramaje,,,,,,,7,0,7,0,0,1,1,6,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem8,donaire,pureza,devillo,foscillo,cigoto,nocena,galgango,vaquilla,,,,,,,7,0,7,0,0,2,2,8,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem2,confianza,rivera,farime,tarsallo,sarcasmo,bascana,purjida,tungsteno,,,,,,,7,0,7,0,0,3,3,2,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem1,bacteria,farsante,nencida,parvaza,campaña,gimega,navura,burrada,,,,,,,7,0,7,0,0,4,4,1,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem7,noviazgo,ternera,tenvila,jagito,pocilga,vinsosta,fensuace,batuta,,,,,,,7,0,7,0,0,5,5,7,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem3,congreso,vergüenza,deciro,sutnido,gozada,gaferdo,vavipo,varilla,,,,,,,7,0,7,0,0,6,6,3,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem5,concepto,rabillo,vangurdo,tolina,rasguño,tusvuja,tencrido,forraje,,,,,,,7,0,7,0,0,7,7,5,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem9,recodo,percance,rofiolo,tosaba,cornisa,ricobo,binima,sufragio,,,,,,,7,0,7,0,0,8,8,9,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
carrierItem,silbido,cosigna,sildedo,venuro,venado,delbides,coserna,deltoides,,,,,,,7,0,7,0,0,9,9,0,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
targetSyl,sil,cos,si,ven,ve,del,co,de,,,,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
,,,,,,,,,latencia,la,2.0,lat,la,,,,,,,,,,,,,,0,0,0,4,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
,,,,,,,,,ciruela,ci,2.0,cir,ci,,,,,,,,,,,,,,0,1,1,3,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
,,,,,,,,,pupila,pu,2.0,pup,pu,,,,,,,,,,,,,,0,2,2,0,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
,,,,,,,,,sendero,sen,1.0,sen,se,,,,,,,,,,,,,,0,3,3,6,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
,,,,,,,,,sordina,sor,1.0,sor,so,,,,,,,,,,,,,,0,4,4,9,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
,,,,,,,,,cantera,can,1.0,can,ca,,,,,,,,,,,,,,0,5,5,5,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
,,,,,,,,,culata,cu,2.0,cul,cu,,,,,,,,,,,,,,0,6,6,2,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
,,,,,,,,,gustazo,gus,1.0,gus,gu,,,,,,,,,,,,,,0,7,7,7,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
,,,,,,,,,caldera,cal,1.0,cal,ca,,,,,,,,,,,,,,0,8,8,8,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
,,,,,,,,,pericia,pe,2.0,per,pe,,,,,,,,,,,,,,0,9,9,1,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
,,,,,,,,,jornada,jor,1.0,jor,jo,A,,,,,,,,,,,,,,,,,0,0,0,10,1,0,0.6673028699997303,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
,,,,,,,,,corteza,cor,1.0,cor,co,A,,,,,,,,,,,,,,,,,0,1,1,9,1,0,0.3694684160000179,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
,,,,,,,,,corbata,cor,1.0,cor,co,A,,,,,,,,,,,,,,,,,0,2,2,8,1,0,0.535013618999983,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
,,,,,,,,,voltaje,vol,1.0,vol,vo,A,,,,,,,,,,,,,,,,,0,3,3,3,1,0,0.3662486749999516,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
,,,,,,,,,cerveza,cer,1.0,cer,ce,A,,,,,,,,,,,,,,,,,0,4,4,6,1,0,0.368082695999874,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
,,,,,,,,,casilla,ca,2.0,cas,ca,A,,,,,,,,,,,,,,,,,0,5,5,18,1,0,0.8351690350000354,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
,,,,,,,,,culpable,cul,1.0,cul,cu,A,,,,,,,,,,,,,,,,,0,6,6,4,1,0,0.6172494909997113,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
,,,,,,,,,ganancia,ga,2.0,gan,ga,A,,,,,,,,,,,,,,,,,0,7,7,22,2,0,0.3517207149998285,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
,,,,,,,,,moneda,mo,2.0,mon,mo,A,,,,,,,,,,,,,,,,,0,8,8,15,2,0,0.3689663660006772,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
,,,,,,,,,limosna,li,2.0,lim,li,A,,,,,,,,,,,,,,,,,0,9,9,17,2,0,0.7170914650005216,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
,,,,,,,,,permiso,per,1.0,per,pe,A,,,,,,,,,,,,,,,,,0,10,10,7,1,0,0.2353170129999853,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
,,,,,,,,,ceniza,ce,2.0,cen,ce,A,,,,,,,,,,,,,,,,,0,11,11,13,1,0,0.7336847809992832,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
,,,,,,,,,peseta,pe,2.0,pes,pe,A,,,,,,,,,,,,,,,,,0,12,12,19,2,0,0.4847523120006372,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
,,,,,,,,,baldosa,bal,1.0,bal,ba,A,,,,,,,,,,,,,,,,,0,13,13,0,1,0,0.2849937349992615,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
,,,,,,,,,pasaje,pa,2.0,pas,pa,A,,,,,,,,,,,,,,,,,0,14,14,23,None,0,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
,,,,,,,,,garganta,gar,1.0,gar,ga,A,,,,,,,,,,,,,,,,,0,15,15,5,1,0,0.334903291000046,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
,,,,,,,,,cosecha,co,2.0,cos,co,A,,,,,,,,,,,,,,,,,0,16,16,20,1,0,0.8008613490001153,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
,,,,,,,,,bolsillo,bol,1.0,bol,bo,A,,,,,,,,,,,,,,,,,0,17,17,2,1,0,0.3678350539994426,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
,,,,,,,,,camisa,ca,2.0,cam,ca,A,,,,,,,,,,,,,,,,,0,18,18,16,2,0,0.48478740500013373,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
,,,,,,,,,morcillo,mor,1.0,mor,mo,A,,,,,,,,,,,,,,,,,0,19,19,11,1,0,0.3190566299999773,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
,,,,,,,,,muralla,mu,2.0,mur,mu,A,,,,,,,,,,,,,,,,,0,20,20,12,2,0,0.31850878200020816,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
,,,,,,,,,palmera,pal,1.0,pal,pa,A,,,,,,,,,,,,,,,,,0,21,21,1,1,0,0.8843698690006931,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
,,,,,,,,,rosario,ro,2.0,ros,ro,A,,,,,,,,,,,,,,,,,0,22,22,21,2,0,0.5507584689994474,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
,,,,,,,,,linaje,li,2.0,lin,li,A,,,,,,,,,,,,,,,,,0,23,23,14,2,0,0.8180814549996285,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
